0	1.1951	1.9915	1.5985	0	1.2283	1.4767	1.7129	-0	-0	1.1725
0	0	1.3069	0	1.9947	1.9172	0	3.0465	-0	0	2.1178
0	0	0	0.2353	0.2732	0	0	0	-0	-0	0.62244
0	0	0	0	0	-0	-0	0	0	-0	0.57532
1.9371	1.1466	0	1.2128	0	0.85093	0	0	-0.35696	-0.82016	1.8252
0.86345	0.4627	0	1.7753	0.82265	0	0	1.2684	-0.67829	-0	1.065
0	1.9568	1.2853	0	1.5294	2.1084	0	0.25493	-1.1062	-0.41485	0
1.3262	1.378	0	-0	0	0	1.8442	0	0	-1.1069	0
0	0	-0	0	0	-0.25144	-0.85152	-0.062647	0	0.75044	-0
0	-0	-0	-0.86633	-0	-0.84164	-1.5003	-0	0	0	0
1.1293	1.6267	0.5089	1.3604	1.7372	1.3755	1.9424	1.9998	-0.77363	-1.5644	0
