0	0	0.12327	1.7202	0	0	0	0.50492	0	-0	2.0552
0.44088	0	0	0	0	2.5448	0	3.9631	-0	0	1.4791
0	0.78372	0	1.9922	0	2.2011	0	0.5202	0	-1.7894	0.98106
0	0	1.5809	0	1.5171	-0	0	0	-1.4467	-0	1.2114
1.2443	0.60103	0.66697	1.2126	0	0.44721	1.0243	0.64937	-0.7072	-1.3786	1.321
0	0	1.4723	1.5852	0.28063	0	2.1063	3.6114	-0	-0	1.683
0.90231	2.0839	1.8011	1.3321	1.1863	2.2893	0	1.8228	-0.9889	-0.7112	2.1807
1.0088	1.0047	1.406	0	0	0	1.7631	0	0	-1.3178	1.6743
-0	0	-0	-1.1614	0	-0.56226	-0	-1.0027	0	0	-0
-0	0	-0.29687	-1.0515	-0.56195	-0	-0	-0	0	0	-0
0	0	1.0409	1.5629	1.6551	2.1605	2.9384	2.022	-1.1757	-0	0
